代码,名称,交易状态,方向,订单价格,订单数量,已成交@均价,操作,下单时间,订单类型,期限,盘前竞价,时段,触发价,卖空,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场,币种,对手经纪,备注,交易活动费,证监会规费, 合计费用, 当前费用为实盘收费估算值，可能与实盘存在差异
MARA,MARA Holdings,全部成交,买入,16.1,200,200@16.1,,2024/10/1 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.1,3220,2024/10/1 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.7,200,200@15.69,,2024/10/1 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.69,3138,2024/10/1 10:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.2,200,200@15.2,,2024/10/1 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.2,3040,2024/10/1 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.1,200,200@15.1,,2024/10/1 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.1,3020,2024/10/1 11:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15,200,200@15.0,,2024/10/1 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15,3000,2024/10/1 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.1,200,200@15.08,,2024/10/1 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.08,3016,2024/10/1 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15,200,200@15.0,,2024/10/1 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15,3000,2024/10/1 12:32,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,14.8,200,200@14.76,,2024/10/1 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,14.76,2952,2024/10/1 13:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部撤单,买入,14.9,200,0.0@0.0,,2024/10/1 14:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,卖出,15.1,400,400@15.12,,2024/10/1 14:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.12,6048,2024/10/1 14:30,美国市场,美元,,,0.07,0.17,0.24,
MARA,MARA Holdings,全部成交,买入,14.9,200,200@14.9,,2024/10/2 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,14.9,2980,2024/10/2 11:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,15.4,400,400@15.4,,2024/10/2 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.4,6160,2024/10/2 12:02,美国市场,美元,,,0.07,0.17,0.24,
MARA,MARA Holdings,全部成交,卖出,15.4,400,400@15.4,,2024/10/2 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.4,6160,2024/10/2 12:02,美国市场,美元,,,0.07,0.17,0.24,
MARA,MARA Holdings,全部成交,卖出,15.4,200,200@15.4,,2024/10/2 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.4,3080,2024/10/2 12:02,美国市场,美元,,,0.03,0.09,0.12,
MARA,MARA Holdings,全部成交,买入,15.4,200,200@15.4,,2024/10/2 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.4,3080,2024/10/2 12:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.2,200,200@15.19,,2024/10/2 15:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.19,3038,2024/10/2 15:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15,200,200@15.0,,2024/10/3 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15,3000,2024/10/3 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.1,200,200@15.1,,2024/10/3 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.1,3020,2024/10/3 10:13,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,14.9,200,200@14.86,,2024/10/3 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,14.86,2972,2024/10/3 10:30,美国市场,美元,,,0,0,0,
