代码,名称,交易状态,方向,订单价格,订单数量,已成交@均价,操作,下单时间,订单类型,期限,盘前竞价,时段,触发价,卖空,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场,币种,对手经纪,备注,交易活动费,证监会规费, 合计费用, 当前费用为实盘收费估算值，可能与实盘存在差异
"MARA","MARA Holdings","全部成交","买入","16.1","200","200@16.1","","2024/10/01 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","16.1","3220.0","2024/10/01 09:30:15","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","买入","15.0","200","200@15.0","","2024/10/02 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.0","3000.0","2024/10/02 09:30:15","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","买入","15.0","200","200@15.0","","2024/10/03 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.0","3000.0","2024/10/03 09:30:15","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","卖出","15.8","200","200@15.8","","2024/10/04 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.8","3160.0","2024/10/04 09:30:00","美国市场","美元","","","0.03","0.09","0.12",
"MARA","MARA Holdings","全部成交","卖出","15.8","200","200@15.8","","2024/10/04 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.8","3160.0","2024/10/04 09:30:00","美国市场","美元","","","0.03","0.09","0.12",
"MARA","MARA Holdings","全部成交","买入","15.8","200","200@15.8","","2024/10/04 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.8","3160.0","2024/10/04 09:30:15","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","卖出","16.4","200","200@16.42","","2024/10/07 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","16.42","3284.0","2024/10/07 09:30:00","美国市场","美元","","","0.03","0.09","0.12",
"MARA","MARA Holdings","全部成交","卖出","16.4","200","200@16.42","","2024/10/07 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","16.42","3284.0","2024/10/07 09:30:00","美国市场","美元","","","0.03","0.09","0.12",
"MARA","MARA Holdings","全部成交","买入","16.4","200","200@16.4","","2024/10/07 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","16.4","3280.0","2024/10/07 09:34:15","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","买入","15.8","200","200@15.75","","2024/10/08 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.75","3150.0","2024/10/08 09:30:00","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","买入","15.8","200","200@15.78","","2024/10/09 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.78","3156.0","2024/10/09 09:30:00","美国市场","美元","","","0","0","0.0",
"MARA","MARA Holdings","全部成交","买入","15.4","200","200@15.39","","2024/10/10 09:30:00","限价单","当日有效","不允许","盘中","","","美国市场","美元","","200","15.39","3078.0","2024/10/10 09:30:00","美国市场","美元","","","0","0","0.0",
